STRING,OUTCOME
DBIBJDCFBCJCHCFGDJHA,NO
GABJHEJGJF,NO
GEICJHEFCECBG,NO
BGBIAJEIAG,NO
GGDHFGFBIBDH,NO
JFCCCEGDGBEJFA,NO
GEJFAGHHFGICCAGDADG,NO
EADEEEAD,NO
AIDJAFCDDBIE,NO
EFACDC,NO
GBJAFEDDACHBGIAC,NO
DIDDAIFDHIHIHG,NO
JGCAJDDEC,NO
GFJGJBH,NO
DIGFBAJEGDFDECB,NO
AHGJEAADJFCC,NO
FJDAIHDBAIAFIII,NO
DGIDBBICICCGDJBCB,NO
HBCFJCJBHHFI,NO
JFIDJBFFBHHGBAGHIDD,NO
IDDCEBJAJA,NO
FABHIEIEBICEEBFFC,NO
IEBEEIBAJABDD,NO
GJFFFBCBECIFDBIF,NO
HHGIDGCGGICBA,NO
AJHBJFJJJI,NO
EHAEDD,NO
AEHDBCDEDAFFGGDBIAEA,NO
IHADAI,STEAL
IJHDCGACFIA,NO
CCABHDDD,NO
IHCJEGGHGCIA,NO
CFCAGB,NO
EDHGFEJCAIF,NO
CJDJEBD,NO
IDFEGEBDJ,NO
AFHAHIEAEJEIABG,NO
EIEIGEBBGIIDEG,NO
IFBJIHEECDHGB,NO
AGHEGCDDFJAAEHFHFBH,NO
ABIBJGGDBD,NO
HBEGHJBHJF,NO
HCGJDIJBHEBBEIBJB,NO
EBIAFHGIC,NO
CCEAHIJ,NO
AJHBBCAEAEGGFHE,NO
FAIDHJHDGDAIDJBAJ,NO
HAEICJCAAJBCAGA,NO
JHHGHAHJIAFJA,NO
IFGIIAACGEBABIDHD,NO
GFFFJCDI,NO
JEIHGHFFAGDCA,NO
BIHDIBDGCFEIEIHAF,NO
JHDFJAJDHGEHCACGJCAJ,NO
GJBACAEDJAFGDJAGA,NO
HHAADEEHAHCFBIDFIJCG,NO
EAGHDIDFCIIB,NO
BGGICACIEIIIBDD,NO
FCAGAJJFFH,NO
DGGCIHJIACGG,NO
BCCAEFBBCEEE,NO
BBHHJIGEHIGJDIJAE,NO
ADEGHCHHHGBDFHE,NO
AJDJBJEFHIFJADBHBAB,NO
FFFGDJHDICDIHDAGC,NO
EEEAADCCCE,NO
IIEAJC,NO
CEIACJJCIFCJA,NO
EDHGHCAIJDDCI,NO
HIBBFEFGBHEICBHJDEAI,NO
GDAEIBHCDF,NO
EGEHACHFGADFCDEAEJ,NO
AECECGDGDE,NO
FEICCJAAJ,NO
AEAHEAH,NO
FFAFBCIGCE,NO
ADFBHHAJ,NO
BHBGBAGHDAFF,NO
FDDCHHIDGCECCC,NO
FHJDEJACAAGDDEEJBJ,NO
CFHHII,NO
ECACGFHGJHJAJBEDHGJ,NO
FEEIBFJGGBH,NO
FJDBIHFCIAJBDIBCFE,NO
GAHHBJCHJC,NO
IGHIGADHAHJABDBIGCEH,NO
BACJCIEHEB,NO
BIAGAGJIEGHCH,NO
ICAGBBGDDJBACFFFC,NO
DCJIIGGEDEFDHJGCJ,NO
JGJFGCEFBFIGAJHAIDI,NO
GFGCIJFAJHBFIHDCGII,NO
JDBAJCJIIAEA,NO
CBBFDHJCIDCJJHAHEEJD,NO
AIGGFDBJI,NO
DCEAJCBEHGJCEEEGF,NO
JDCJFGGCDBCGGGA,NO
IEJEEIFCJ,NO
GHBAIBG,NO
JJEGHGCDJGIDC,NO
ADAAACJFJCJIEEFGJE,NO
CCBDBGJHCDHH,NO
HEFJCIDHGFEGCHIBFGHF,NO
DCBHADHFI,STEAL
IJCGHFGCB,NO
BHJJCHAHBD,NO
BFACGFFBGEAHFDB,NO
GEBFAHDBC,NO
FBACJII,NO
GIICEE,NO
EIJFCAHJJHCFEFE,NO
CGFDDCGGIDGD,NO
FJADBGI,NO
DGEDBIBDCEDE,NO
DGADABHDA,NO
BHIJDFB,NO
FBEGBH,NO
EDFIJBIFBDHCI,NO
AIJFAJDA,NO
GAHDECGA,NO
ABJJIA,NO
JAJDDGDI,NO
DDDHIHGCGCEFCDBCABHA,NO
BGBDBJDEAD,NO
GDEJCAFD,NO
CJGIDEDCAGHJB,NO
BIDHCHCBHJDJJJADCBB,NO
ABCHHHACEEC,NO
DGFEAE,NO
IFHADB,STEAL
HEGABBHJCFGJCFDEHBD,NO
ADHCGJH,NO
IGBDHJEBHDJJIHII,NO
BBHCFDIDACADI,NO
BHAEJIJEICABGIGH,NO
ABBACBIGGHA,NO
JBAGCJFDJBG,NO
BDIIBEICGCAEHHIC,NO
JFDAIJAA,NO
DJDEFFGHHIEEFBDHBI,NO
GHAJBCIHJJFEIA,NO
DBIEFGIDIDBA,NO
FJJCGGHDCEB,NO
EJCGAIF,NO
FHGICAI,NO
EIECEEEHBGFCCHIC,NO
AEJEGHEIHEABHIFBDDFJ,NO
IGAICGJIE,NO
EGACFJFHFGDBD,NO
BJJEJIJ,NO
ECIDBCCJAFHDHJ,NO
JIGFGI,NO
EIGBDDJBDCDBHECBA,NO
JADHHDDJBBDHAA,NO
FGJBBCCDDCBIBAHGJH,NO
JGGHDCGFDAIGEEIGJIC,NO
GIHEECFDAIFBJD,NO
AEJGAGIIDJGFJAHD,NO
AGHFJIBC,NO
CECJEDICCIGFJEBC,NO
EFAAJFICAIADJDEEAH,NO
DAHFCBCHAH,NO
CEEBHJBGGG,NO
AEADJHAJGACD,NO
HFJJFGBJEBIC,NO
DIFFJCB,NO
IGIDHAGBJFJFFHIADGB,NO
HDDADIGEJIE,NO
IGGCAJHHHHCIIE,NO
IGGJHDHEHFG,NO
HFAEFDIBBBAAGFBJHDIB,NO
BJJHJGCDEAIHIIGAAGED,NO
EACAIGCIFDJADFBB,NO
GIHFCBHJCCIHICJAFH,NO
HCDIBAHC,NO
BJHFGCIGCAD,NO
CCBFHJBEEADGFAIHEH,NO
DICBFCIBI,NO
BAJBGGJD,NO
CCFJHCEC,NO
BBJGABJCFDDABAECECI,NO
IDCACBFII,NO
AICBDEEGJFBCA,NO
GEJGBIEIEEFICHDFD,NO
IFFDDHHDHJAGI,NO
EBCADHBJAFBEIGCF,NO
BCBFBHFDHEDHGEDJAED,NO
GHCHHJDB,NO
EAHHDIDJHDBHH,NO
HHIGBHD,NO
GBHHJGB,NO
CJDGDEAFFG,NO
GGCEHBJAFBFEHJE,NO
HBHADBDJCBH,STEAL
FAGIHAFAAHEG,NO
JFBEJHDIGH,NO
DCHEEH,NO
DGEBEIGGF,NO
EFHJAAIIFGHHGAF,NO
HBAAICEEJJE,NO
JCHAJGE,NO
IFHDEDIEACIBFAFC,NO
IAGIJACFGEA,NO
IBFFBDCHH,NO
DGDBGJCABAEAHAFIJJJG,NO
IAEBIJBHGCICHEFFDEH,NO
AJIHDAJGBBF,NO
CGDGGIFG,NO
BDEIGCFGED,NO
DDCBHEHIHBDDIJHAE,NO
CFBGGAICFF,NO
HAADCDJ,NO
EDDIBADDJJAIE,NO
JECCAGDCCGDD,NO
DBIIDCGAII,NO
DDCHHGBJFBDJHEDACB,NO
HGHDJBHFIDDGGJCDI,NO
EEJIHBGGBFFFDCEG,NO
ACCABGAFBEIFBGGCC,NO
HIDDHEEGCGHBD,NO
EGHACI,NO
FDHCIFCG,NO
BIBGHGG,NO
BCCCDCFFGHGJEHJGEHH,NO
CIHBHCCJDEJEI,NO
IDCABDDE,NO
JBHGIFAC,NO
GHBJIGBEAEH,NO
HGBCDJGJC,NO
EFEEJBAFIJI,NO
IHJBIJF,NO
IEGIIEHD,NO
GBECJGCI,NO
EEHGCIDEECF,NO
ICJBIJIB,NO
EEAAIC,NO
JCAFJJFA,NO
CJHIAAHCFJJJEJGHH,NO
AEFAEH,NO
IDBADFECIB,NO
JDHJHEGBI,NO
AGJCGBFIJCJJJEDD,NO
GIIIGJBCBD,NO
FHGCBHIADFHEDFCAGHI,NO
HGCBFHHCGJJJFAJEIJHE,NO
FIDEHBFHFIDII,NO
CEHHIFAE,NO
BAGIBBJIIIIEHABCAHI,NO
ECBIGGIFIJBGCAD,NO
GFCBACAFHGJF,NO
DAJIGCCHHHFIABIDDCD,NO
GEDJGIJADF,NO
HIGDBFI,NO
DGGCCFICACHBJ,NO
IFFHAF,NO
CFHCJDBBADGHGC,NO
EDFIICGGDEHJCJBJ,NO
CAFGDDJGGDC,NO
EACIEE,NO
DHBAJEJFDJIBHADECB,STEAL
FHGJGDJHIJBFEAFB,NO
FEFIIHFDFGAIBHDGC,NO
JJDCDBB,NO
DFFFCGDGHJAJJDJI,NO
ADDFDFGHAJCJDDFAED,NO
EIJDDIABEIGE,NO
GJBCDAJAJDIDAFJEHF,NO
DICIEBFHAJGC,NO
ACFBEJGDCJFBH,NO
CIBHEH,NO
BECCJCDCDDJHDEC,NO
IBIAGFIEBGDDIFFCEEJH,NO
BCIIJFECCE,NO
FEDIJIDHEBBJBI,NO
AIFJIDAGD,NO
EIDFJGADIFGIGAHECCH,NO
EEJAFEGFFICI,NO
EBECEJCJBHAIFAA,NO
EIJFGDG,NO
ADDEHHCAGDAFEIFDGAF,NO
HFGDHD,NO
GJGJJJAHA,NO
IFFGGCDHJGFIBA,NO
HBCEECFDEI,NO
AJHHHCHEBIABJIE,NO
CBHFIEHJEAFEGFCD,NO
ECEAIABGJEJJJJAE,NO
CJDGDDBBEDI,NO
IICEAEBAHBEE,NO
BAJGHAJDJDBJDBD,NO
IAJDECIJIJ,NO
AEGEIJAGDCIEA,NO
BFJCIGICAEFEFA,NO
