STRING,OUTCOME
FDECIHCHD,NO
JAABBDEIADCDEDCJEFH,NO
IADIECHHHBJHHCIFFH,NO
CDHDHBGEJ,NO
EBDFHEEGEHCGFAJHFDII,NO
GHHFEHDIBCF,NO
JBHCGE,NO
EJJGAIJGCIFHBJGCHFB,NO
HDGIGBDBIAIG,NO
HHEEHC,NO
FJGEAAJFAFEH,NO
ACFIDCDGEFDCECGFIIGE,NO
BHCHHFFCIBFGHCBC,NO
JIFGFJCBDGAB,NO
HIHJGAFHFHEC,NO
JFGIIDBIEDGICCDHICC,NO
EEJAIIHD,NO
IIGGGEJHG,NO
ADJGHICIAHHFJJICA,NO
CGGBHGIA,NO
CDJGIGIBF,NO
AEIGAIEHBDDHCCFCFHB,NO
IEHJAECIJJIJGFCFEHH,NO
GFFJIIBHDBBEEBFJGA,NO
DHGJGEIIA,NO
BCAJCCADIIBJFEECDFF,NO
FFGCGGAGJH,NO
CBCHGBHCDHIHAGCACF,NO
GDGJAACJBGDIFAE,NO
AEDGCFGD,NO
CDJFAFE,NO
BIHFHFJGIBA,NO
DDBGGBGIFAHFCGEHEBC,NO
JJIAEHIBDFAC,NO
DFFGFFAAGFACCJJIEGDC,NO
EFGGAAJFBCGGF,NO
EDEIJFFFGGFC,NO
AGIEJADBBEEIEAE,NO
GJHHFCJEDHEFACB,NO
ABDFHJIFFECEG,NO
EGCFAEJCIJHCDHBIF,NO
JFJEDFDHBABDHIBG,NO
IIBDIADHJBICDIDA,NO
CHFDBDAAC,NO
BJCDHBJI,NO
BAIBBIECHGGGJDDDECJ,NO
FIGBJBBIEBEDGFH,NO
JDDCGGCIIIJBHJCDB,NO
DCABHDEAFDA,NO
JAHCCAEF,NO
IIFCCG,NO
CCJDGI,NO
ABFIDADBBFGCCE,NO
ICGACFBGJFGJHHF,NO
GGGCBIHCIDBAGII,NO
JDJJGEEDAHAHF,NO
ECBEEEBBBFJDJA,NO
DIJCIBCAG,NO
FGJHCGDBAGFG,NO
JCCHHAHIEHDHJDFBED,NO
GHBIIIIBFFDDJGGHGDJ,NO
HBBJBIIFFHC,NO
IAFIHIFAICCEFC,NO
HEABEIJJFDJCCHCG,NO
CEDHJABIHDEABAIHDC,NO
GHCDEEHBAJFHF,NO
HAJGAIEIEDCFAH,NO
HEEBGHGGCIECIDGBAIJJ,NO
CFBGCEJEB,NO
GECJHDBFDH,NO
FCJIDFIBFAJBECABHBE,NO
BEEICGDF,NO
HCDIHDAFECC,NO
IJIABHEDDBJDCFHBDGJD,NO
BHBHCBEJIJI,NO
EGADCAEGGA,NO
JEDBCBIAJIDCACADHF,NO
AFIHGI,NO
IBECBEJAFBDJAHIEBGEG,NO
EBBBEJHJIBGI,NO
CDEIFE,NO
EEIDAFDGEDHIIABFAI,NO
AGBBAHECIDDHGCA,NO
GIBDBHDECIA,NO
ECGFJAJ,NO
BGCABEH,NO
GDHECIA,NO
JGFGCE,NO
BEADJCDAEAEFA,NO
ICJJII,NO
DFAGHHBFJJJBB,NO
FAFHEHCFFIIIC,NO
CCGBJCCG,NO
FCAAGEAGCGDA,NO
EFIBCACGFD,NO
AHCIIIEDJDBJJGBE,NO
JGJJDAEBECJEJGHDH,NO
IECICFDEAJIJF,NO
GIDEIHDFJCICGGEAEEBE,NO
ECJCDJFFJDJBH,NO
DDBJDJDADJABAAEGGB,NO
BCGBIGGDIEGJDDC,NO
IFCACGH,NO
BDFFIA,NO
BDFDBDHFDHBGEF,NO
JGFGJHAFDFJDBEG,NO
ECFGDFJEIDEHEGBEDJ,NO
CDGJJGDGCFHHDADAF,NO
EHHAEHECDFBIJAAGG,NO
CGBCFHJFGFIAJADFI,NO
IIHFIICGAFIHDCFGEG,NO
FGHBFJEEBDJCHFJF,NO
GACDGAJGEBHHBGABCAH,NO
JABIFFJ,NO
BDECCADEAFAI,NO
IBFJACA,NO
ECFCFEC,NO
DDIICAHADDFIDCDHFHG,STEAL
CCFEBGBFBHGCFFAACEIC,NO
BEIHJJCFDFJCACAGG,NO
HEGEGHEIB,NO
IBEHGGDECFEEFHFICBEH,NO
GACIDFJ,NO
DFIFCBGIIJCEHJDFA,NO
IIDBHCCBAACD,NO
DFHDCDDFGGIAAJ,NO
EADHJCBBDF,NO
AEJCFEAHCDHAJJBGFJJF,NO
HBAFCAJIGAFFBA,NO
DCHJHEFIIGFBHJ,NO
AEIABDD,NO
EGJFBCHBEJBFHI,NO
DEGGBCEHIFFH,NO
HFFAIBEFBBIFJBEJI,NO
CCGAFIGADJHHF,NO
FCCHIDCDE,NO
ABDJJDC,NO
DEFJDD,NO
IHGIDBIADAFC,NO
HCFFIIFJGBDECEGBEFBG,NO
GBCDEGBFHGIBIGFFD,NO
JEGFJCFDJGGABHJCBGBC,NO
CGBHJGFBGBCDHDEH,NO
AGGACEEHGJAFE,NO
CGGCBCFABFIBAEDEJC,NO
IEABCGGHII,NO
HCFBFJDEGAG,NO
DBIHIAAB,NO
DCFECBJII,NO
IGBCDACEGJFEDHDJFHG,NO
AAHIGH,NO
EIDFIJCGCID,NO
HCDICAJIFF,NO
HJAFDDFAJICGGHBEBEAE,NO
IGFDHBBEDABCD,NO
BBHDECFJDBJEJCHCJC,NO
IEDGDJHEJCGIBABHAJ,NO
FABDAGIF,NO
CCAJECDG,NO
IEICCHJHCE,NO
HJCIJCBIFIJJJ,NO
CJFDHEFGBAB,NO
BEEEBEHIDDBBGFAGDB,NO
FEBEJIJAH,NO
GABACHEBGDEFJA,NO
IBDAHJDICBFEJCDA,NO
IIIGCHAFIJFFFBFA,NO
IIEDDGBCECIFDB,NO
FIFHBAFDICEBCGIGCIIA,NO
GDBDEGBIIFBHBDECHG,NO
BIHCGCHBIEJFDBJ,NO
JJDFJHHGAJCBCBBDIC,NO
GHHDGDAC,NO
IAACDC,NO
IBBCHDAGEEJEGJAFEED,NO
EFEGAEGJDEHDEJEFGG,NO
EAJFFJIFDJACE,NO
GIBDBCHAAEJEJHEB,NO
BGGCGEJJJJ,NO
JBDBBGDHAIJJ,NO
HEIBGJDBCFJHDGGIBEH,NO
BGAGGA,NO
FABDJFHFGFACHJD,NO
GDADGGEHFDIDII,NO
HJFBHCDIBGFADJIHGAG,NO
ADCEGADGBHAAHCHA,NO
CGHDFCHIADDDCDFD,NO
DHIJGBIC,NO
FCGAIHHBCG,NO
JEBHEHBGICDFFDBBHB,NO
GIFFICDA,NO
DFHBHDJABHCFG,NO
CDGFAIEDG,NO
BGFFCGADHIHGDADHAJB,NO
DHDFFFEC,NO
FGEEIGECFABGG,NO
AHJCCG,NO
JDHFBIHD,NO
AHFEFIHBGEGIIAJGFJHD,NO
IBEDEJH,NO
DIFBBACGAGDBEFJ,NO
IBADHFFJCB,NO
HBCHIAFJ,NO
JEIIFGFBCIJAEBADBF,NO
HAGFJEIBAFJIIFDHJ,NO
FFBGJJIHHEJBGBEIJ,NO
HFCIHAJDDFEGGEII,NO
HDDHDABGAHGAAJAEIG,NO
JHIDHGAIEGHE,NO
EGEDBBJDCCJBGJAHF,NO
FHFEGEFHGC,NO
FHDAJIGJIFG,NO
FEBGGECGCI,NO
EEDAFFGHFDEIDBIC,NO
AEIEDAI,NO
BGDHAGC,NO
FCBHIEDABHEJDHGAHJI,NO
FGBCBEJBBFJAFI,NO
JGAFCE,NO
JGAIEHF,NO
IDAJBBJC,NO
ECIBHBJGF,NO
EEDJJDEBJFJC,NO
GAFCAJH,NO
GIEFAJGJIJEIFHFCECJA,NO
BEFIABIJGHIHFJFFCJA,NO
GEFFEFACABBDAA,NO
DGCGDFEDBF,NO
CJJEFABAEFFCBHDHII,NO
ECCAAEAHIF,NO
GBCJEAABHAHDCIDBJE,NO
HHAGCAHGG,NO
CAIJGIABDIDBHAFGE,NO
JBDCJJEGJDIIIAEC,NO
CGEIJFEACGJFFBJA,NO
BFGFGG,NO
DBEGDBFGFBEGGHG,NO
BHIIBEDCDFAIAFD,NO
ECHBCBFJBBGJ,NO
GCCCDJHJDFHIGBFCDEG,NO
ECDJBCBDF,NO
GICFFJC,NO
HEIGIGDAJIFDBECI,NO
GFFIGCAFJCHEFBBJBF,NO
CGBDGAFDEEGEBHD,NO
EDFJDJFDJFDGEGIABHIJ,NO
GGEHGFEABGFEBIEF,NO
EIBJCDFEHFAGC,NO
GJHHDBIEAGGHIGIC,NO
IIEGIBFEBDGGHGJI,NO
DHIDCBFEJHDBACJI,NO
IDGHJDDEJCEJCDFHIFI,NO
GBABHC,NO
EDBHGDBHJIB,NO
GGHEGFIAEBHCBDJD,NO
IEIDCB,NO
DBJJEF,NO
FJAEEFGDBBIHBDIFFA,NO
EEGBFACH,NO
JIJIDFHBEAJ,NO
JJCEFBCAFJC,NO
HAHEGGFHADBGJBD,STEAL
HAABDIHGADIBAFEBIFC,NO
BIDABG,NO
AIBGIIEIFBHI,NO
EDBDAJ,NO
IEFFJGADEGDFJIFJ,NO
ICJAABICBFFAAB,NO
BCBBGGBB,NO
DGEJEAB,NO
CEEDIIC,NO
BAFHDDAIAEIDHF,NO
AICIJFFEH,NO
DGEHJIADJDABE,NO
IHICHE,NO
IACJGDGIGICCH,NO
BFCEJCHCJHEBIF,NO
EJFECGJDAJFBB,NO
BFAGEIGEDEGEGD,NO
DCDJIBFGDF,NO
EGFGFJG,NO
IFDBHGBJBED,NO
AEIHIFBDHCJFAD,NO
BFCBBJJAID,NO
FIGFJCGFADA,NO
FIFEJHAEBE,NO
JGHJECAHDGIDDFEJJDF,NO
AAEIJHGDIBEEECHJAIHC,NO
BHBDBABBFI,NO
JCIAEGD,NO
HCJBJEEEIGHDIGFJJ,NO
JBGHFHEBFC,NO
AJJHJJGHEIIC,NO
CDAFGBFFHJFHDHBD,NO
BEDEJEJIFI,NO
DEGHDGFIFBGIEBI,NO
ACGGAAADHFDECEDDCF,NO
